date,portal,insurer,runs_present,runs_total,presence_pct,below_threshold
2025-08-19,Falabella,Consorcio,43,43,100.0,False
2025-08-19,Falabella,Fid,41,43,95.3488,False
2025-08-19,Falabella,Hdi,43,43,100.0,False
2025-08-19,Falabella,Sura,38,43,88.3721,False
2025-08-19,Falabella,Zenit,42,43,97.6744,False
2025-08-19,Falabella,Zurich,43,43,100.0,False
2025-08-19,Santander,Consorcio,48,48,100.0,False
2025-08-19,Santander,Fid,45,48,93.75,False
2025-08-19,Santander,Hdi,48,48,100.0,False
2025-08-19,Santander,Mapfre,47,48,97.9167,False
2025-08-19,Santander,Sura,47,48,97.9167,False
2025-08-19,Santander,ZURICH,47,48,97.9167,False
2025-08-19,Santander,Zenit,48,48,100.0,False
2025-08-20,Falabella,Bci,48,48,100.0,False
2025-08-20,Falabella,Cardif,47,48,97.9167,False
2025-08-20,Falabella,Consorcio,48,48,100.0,False
2025-08-20,Falabella,Fid,43,48,89.5833,False
2025-08-20,Falabella,Hdi,46,48,95.8333,False
2025-08-20,Falabella,Sura,47,48,97.9167,False
2025-08-20,Falabella,Zenit,8,48,16.6667,True
2025-08-20,Falabella,Zurich,48,48,100.0,False
2025-08-20,Santander,Consorcio,47,48,97.9167,False
2025-08-20,Santander,Fid,42,48,87.5,False
2025-08-20,Santander,Hdi,41,48,85.4167,False
2025-08-20,Santander,Mapfre,46,48,95.8333,False
2025-08-20,Santander,Sura,48,48,100.0,False
2025-08-20,Santander,ZURICH,44,48,91.6667,False
2025-08-20,Santander,Zenit,46,48,95.8333,False
2025-08-21,Falabella,Bci,48,48,100.0,False
2025-08-21,Falabella,Cardif,48,48,100.0,False
2025-08-21,Falabella,Consorcio,47,48,97.9167,False
2025-08-21,Falabella,Fid,46,48,95.8333,False
2025-08-21,Falabella,Hdi,48,48,100.0,False
2025-08-21,Falabella,Sura,46,48,95.8333,False
2025-08-21,Falabella,Zurich,48,48,100.0,False
2025-08-21,Santander,Consorcio,47,48,97.9167,False
2025-08-21,Santander,Fid,47,48,97.9167,False
2025-08-21,Santander,Hdi,45,48,93.75,False
2025-08-21,Santander,Mapfre,48,48,100.0,False
2025-08-21,Santander,Sura,48,48,100.0,False
2025-08-21,Santander,ZURICH,46,48,95.8333,False
2025-08-21,Santander,Zenit,45,48,93.75,False
2025-08-22,Falabella,Bci,48,48,100.0,False
2025-08-22,Falabella,Cardif,48,48,100.0,False
2025-08-22,Falabella,Consorcio,43,48,89.5833,False
2025-08-22,Falabella,Fid,47,48,97.9167,False
2025-08-22,Falabella,Hdi,48,48,100.0,False
2025-08-22,Falabella,Sura,42,48,87.5,False
2025-08-22,Falabella,Zurich,47,48,97.9167,False
2025-08-22,Santander,Consorcio,44,48,91.6667,False
2025-08-22,Santander,Fid,46,48,95.8333,False
2025-08-22,Santander,Hdi,46,48,95.8333,False
2025-08-22,Santander,Mapfre,44,48,91.6667,False
2025-08-22,Santander,Sura,48,48,100.0,False
2025-08-22,Santander,ZURICH,47,48,97.9167,False
2025-08-22,Santander,Zenit,47,48,97.9167,False
2025-08-23,Falabella,Bci,47,48,97.9167,False
2025-08-23,Falabella,Cardif,46,48,95.8333,False
2025-08-23,Falabella,Consorcio,48,48,100.0,False
2025-08-23,Falabella,Fid,46,48,95.8333,False
2025-08-23,Falabella,Hdi,48,48,100.0,False
2025-08-23,Falabella,Sura,40,48,83.3333,False
2025-08-23,Falabella,Zurich,48,48,100.0,False
2025-08-23,Santander,Consorcio,47,48,97.9167,False
2025-08-23,Santander,Fid,46,48,95.8333,False
2025-08-23,Santander,Hdi,44,48,91.6667,False
2025-08-23,Santander,Mapfre,48,48,100.0,False
2025-08-23,Santander,Sura,48,48,100.0,False
2025-08-23,Santander,ZURICH,47,48,97.9167,False
2025-08-23,Santander,Zenit,48,48,100.0,False
2025-08-24,Falabella,Bci,43,48,89.5833,False
2025-08-24,Falabella,Cardif,48,48,100.0,False
2025-08-24,Falabella,Consorcio,47,48,97.9167,False
2025-08-24,Falabella,Fid,46,48,95.8333,False
2025-08-24,Falabella,Hdi,48,48,100.0,False
2025-08-24,Falabella,Sura,47,48,97.9167,False
2025-08-24,Falabella,Zurich,48,48,100.0,False
2025-08-24,Santander,Consorcio,48,48,100.0,False
2025-08-24,Santander,Fid,47,48,97.9167,False
2025-08-24,Santander,Hdi,45,48,93.75,False
2025-08-24,Santander,Mapfre,47,48,97.9167,False
2025-08-24,Santander,Sura,47,48,97.9167,False
2025-08-24,Santander,ZURICH,46,48,95.8333,False
2025-08-24,Santander,Zenit,47,48,97.9167,False
2025-08-25,Falabella,Bci,47,48,97.9167,False
2025-08-25,Falabella,Cardif,48,48,100.0,False
2025-08-25,Falabella,Consorcio,48,48,100.0,False
2025-08-25,Falabella,Fid,47,48,97.9167,False
2025-08-25,Falabella,Hdi,48,48,100.0,False
2025-08-25,Falabella,Sura,44,48,91.6667,False
2025-08-25,Falabella,Zurich,48,48,100.0,False
2025-08-25,Santander,Consorcio,46,48,95.8333,False
2025-08-25,Santander,Fid,47,48,97.9167,False
2025-08-25,Santander,Hdi,45,48,93.75,False
2025-08-25,Santander,Mapfre,47,48,97.9167,False
2025-08-25,Santander,Sura,48,48,100.0,False
2025-08-25,Santander,ZURICH,47,48,97.9167,False
2025-08-25,Santander,Zenit,48,48,100.0,False
2025-08-26,Falabella,Bci,47,48,97.9167,False
2025-08-26,Falabella,Cardif,47,48,97.9167,False
2025-08-26,Falabella,Consorcio,46,48,95.8333,False
2025-08-26,Falabella,Fid,46,48,95.8333,False
2025-08-26,Falabella,Hdi,48,48,100.0,False
2025-08-26,Falabella,Sura,31,48,64.5833,True
2025-08-26,Falabella,Zurich,46,48,95.8333,False
2025-08-26,Santander,Consorcio,48,48,100.0,False
2025-08-26,Santander,Fid,47,48,97.9167,False
2025-08-26,Santander,Hdi,42,48,87.5,False
2025-08-26,Santander,Mapfre,48,48,100.0,False
2025-08-26,Santander,Sura,48,48,100.0,False
2025-08-26,Santander,ZURICH,48,48,100.0,False
2025-08-26,Santander,Zenit,48,48,100.0,False
2025-08-27,Falabella,Bci,47,48,97.9167,False
2025-08-27,Falabella,Cardif,48,48,100.0,False
2025-08-27,Falabella,Consorcio,48,48,100.0,False
2025-08-27,Falabella,Fid,47,48,97.9167,False
2025-08-27,Falabella,Hdi,48,48,100.0,False
2025-08-27,Falabella,Sura,43,48,89.5833,False
2025-08-27,Falabella,Zurich,48,48,100.0,False
2025-08-27,Santander,Consorcio,48,48,100.0,False
2025-08-27,Santander,Fid,46,48,95.8333,False
2025-08-27,Santander,Hdi,48,48,100.0,False
2025-08-27,Santander,Mapfre,48,48,100.0,False
2025-08-27,Santander,Sura,36,48,75.0,True
2025-08-27,Santander,ZURICH,47,48,97.9167,False
2025-08-27,Santander,Zenit,48,48,100.0,False
2025-08-28,Falabella,Bci,48,48,100.0,False
2025-08-28,Falabella,Cardif,48,48,100.0,False
2025-08-28,Falabella,Consorcio,47,48,97.9167,False
2025-08-28,Falabella,Fid,45,48,93.75,False
2025-08-28,Falabella,Hdi,48,48,100.0,False
2025-08-28,Falabella,Sura,47,48,97.9167,False
2025-08-28,Falabella,Zurich,47,48,97.9167,False
2025-08-28,Santander,Consorcio,48,48,100.0,False
2025-08-28,Santander,Fid,44,48,91.6667,False
2025-08-28,Santander,Hdi,47,48,97.9167,False
2025-08-28,Santander,Mapfre,48,48,100.0,False
2025-08-28,Santander,Sura,48,48,100.0,False
2025-08-28,Santander,ZURICH,47,48,97.9167,False
2025-08-28,Santander,Zenit,47,48,97.9167,False
2025-08-29,Falabella,Bci,47,48,97.9167,False
2025-08-29,Falabella,Cardif,48,48,100.0,False
2025-08-29,Falabella,Consorcio,47,48,97.9167,False
2025-08-29,Falabella,Fid,47,48,97.9167,False
2025-08-29,Falabella,Hdi,47,48,97.9167,False
2025-08-29,Falabella,Sura,40,48,83.3333,False
2025-08-29,Falabella,Zurich,47,48,97.9167,False
2025-08-29,Santander,Consorcio,48,48,100.0,False
2025-08-29,Santander,Fid,44,48,91.6667,False
2025-08-29,Santander,Hdi,45,48,93.75,False
2025-08-29,Santander,Mapfre,48,48,100.0,False
2025-08-29,Santander,Sura,48,48,100.0,False
2025-08-29,Santander,ZURICH,48,48,100.0,False
2025-08-29,Santander,Zenit,48,48,100.0,False
2025-08-30,Falabella,Bci,48,48,100.0,False
2025-08-30,Falabella,Cardif,48,48,100.0,False
2025-08-30,Falabella,Consorcio,47,48,97.9167,False
2025-08-30,Falabella,Fid,43,48,89.5833,False
2025-08-30,Falabella,Hdi,48,48,100.0,False
2025-08-30,Falabella,Sura,45,48,93.75,False
2025-08-30,Falabella,Zurich,47,48,97.9167,False
2025-08-30,Santander,Consorcio,48,48,100.0,False
2025-08-30,Santander,Fid,44,48,91.6667,False
2025-08-30,Santander,Hdi,46,48,95.8333,False
2025-08-30,Santander,Mapfre,47,48,97.9167,False
2025-08-30,Santander,Sura,47,48,97.9167,False
2025-08-30,Santander,ZURICH,47,48,97.9167,False
2025-08-30,Santander,Zenit,48,48,100.0,False
2025-08-31,Falabella,Bci,4,4,100.0,False
2025-08-31,Falabella,Cardif,4,4,100.0,False
2025-08-31,Falabella,Consorcio,4,4,100.0,False
2025-08-31,Falabella,Fid,3,4,75.0,True
2025-08-31,Falabella,Hdi,4,4,100.0,False
2025-08-31,Falabella,Sura,4,4,100.0,False
2025-08-31,Falabella,Zurich,4,4,100.0,False
2025-08-31,Santander,Consorcio,4,4,100.0,False
2025-08-31,Santander,Fid,3,4,75.0,True
2025-08-31,Santander,Hdi,4,4,100.0,False
2025-08-31,Santander,Mapfre,4,4,100.0,False
2025-08-31,Santander,Sura,4,4,100.0,False
2025-08-31,Santander,ZURICH,4,4,100.0,False
2025-08-31,Santander,Zenit,4,4,100.0,False
