run_id,portal,scraped_at,insurers_returned,rows,status
304,Falabella,2025-08-07 03:30:01,5,5,success
305,Falabella,2025-08-07 04:00:01,4,4,success
306,Falabella,2025-08-07 04:30:01,5,5,success
307,Falabella,2025-08-07 05:00:02,7,7,success
308,Falabella,2025-08-07 05:30:02,7,7,success
309,Falabella,2025-08-07 06:00:01,6,6,success
310,Falabella,2025-08-07 06:30:01,8,8,success
311,Falabella,2025-08-07 07:00:02,8,8,success
312,Falabella,2025-08-07 07:30:01,8,8,success
313,Falabella,2025-08-07 08:00:02,8,8,success
314,Falabella,2025-08-07 08:30:02,8,8,success
315,Falabella,2025-08-07 09:00:02,7,7,success
316,Falabella,2025-08-07 09:30:02,8,8,success
317,Falabella,2025-08-07 10:00:02,8,8,success
318,Falabella,2025-08-07 10:30:02,8,8,success
319,Falabella,2025-08-07 11:00:02,7,7,success
320,Falabella,2025-08-07 11:30:01,6,6,success
321,Falabella,2025-08-07 12:00:01,8,8,success
322,Falabella,2025-08-07 12:30:01,8,8,success
323,Falabella,2025-08-07 13:00:01,8,8,success
324,Falabella,2025-08-07 13:30:01,8,8,success
325,Falabella,2025-08-07 14:00:01,8,8,success
326,Falabella,2025-08-07 14:30:02,8,8,success
327,Falabella,2025-08-07 15:00:02,8,8,success
328,Falabella,2025-08-07 15:30:02,8,8,success
329,Falabella,2025-08-07 16:00:02,8,8,success
330,Falabella,2025-08-07 16:30:02,8,8,success
331,Falabella,2025-08-07 17:00:02,7,7,success
332,Falabella,2025-08-07 17:30:01,8,8,success
333,Falabella,2025-08-07 18:00:04,8,8,success
334,Falabella,2025-08-07 18:30:02,8,8,success
335,Falabella,2025-08-07 19:00:02,7,7,success
336,Falabella,2025-08-07 19:30:01,8,8,success
337,Falabella,2025-08-07 20:00:01,8,8,success
338,Falabella,2025-08-07 20:30:01,8,8,success
339,Falabella,2025-08-07 21:00:01,8,8,success
340,Falabella,2025-08-07 21:30:01,8,8,success
341,Falabella,2025-08-07 22:00:01,8,8,success
342,Falabella,2025-08-07 22:30:02,8,8,success
343,Falabella,2025-08-07 23:00:01,8,8,success
344,Falabella,2025-08-07 23:30:01,8,8,success
345,Falabella,2025-08-08 00:00:02,8,8,success
346,Falabella,2025-08-08 00:30:02,8,8,success
347,Falabella,2025-08-08 01:00:02,8,8,success
348,Falabella,2025-08-08 01:30:02,8,8,success
349,Falabella,2025-08-08 02:00:01,8,8,success
350,Falabella,2025-08-08 02:30:01,8,8,success
351,Falabella,2025-08-08 03:00:01,8,8,success
352,Falabella,2025-08-08 03:30:01,8,8,success
353,Falabella,2025-08-08 04:00:01,8,8,success
354,Falabella,2025-08-08 04:30:01,8,8,success
355,Falabella,2025-08-08 05:00:02,8,8,success
356,Falabella,2025-08-08 05:30:02,8,8,success
357,Falabella,2025-08-08 06:00:02,6,6,success
358,Falabella,2025-08-08 06:30:02,8,8,success
359,Falabella,2025-08-08 07:00:02,8,8,success
360,Falabella,2025-08-08 07:30:01,7,7,success
361,Falabella,2025-08-08 08:00:01,8,8,success
362,Falabella,2025-08-08 08:30:01,7,7,success
363,Falabella,2025-08-08 09:00:01,8,8,success
364,Falabella,2025-08-08 09:30:01,8,8,success
365,Falabella,2025-08-08 10:00:01,8,8,success
366,Falabella,2025-08-08 10:30:02,8,8,success
367,Falabella,2025-08-08 11:00:02,8,8,success
368,Falabella,2025-08-08 11:30:02,8,8,success
369,Falabella,2025-08-08 12:00:02,8,8,success
370,Falabella,2025-08-08 12:30:02,8,8,success
371,Falabella,2025-08-08 13:00:02,8,8,success
372,Falabella,2025-08-08 13:30:02,7,7,success
373,Falabella,2025-08-08 14:00:01,8,8,success
374,Falabella,2025-08-08 14:30:01,8,8,success
375,Falabella,2025-08-08 15:00:01,8,8,success
376,Falabella,2025-08-08 15:30:01,8,8,success
377,Falabella,2025-08-08 16:00:01,8,8,success
378,Falabella,2025-08-08 16:30:01,8,8,success
379,Falabella,2025-08-08 17:00:01,8,8,success
380,Falabella,2025-08-08 17:30:01,7,7,success
381,Falabella,2025-08-08 18:00:01,8,8,success
382,Falabella,2025-08-08 18:30:01,8,8,success
383,Falabella,2025-08-08 19:00:01,8,8,success
384,Falabella,2025-08-08 19:30:01,8,8,success
385,Falabella,2025-08-08 20:00:01,8,8,success
386,Falabella,2025-08-08 20:30:01,7,7,success
387,Falabella,2025-08-08 21:00:01,8,8,success
388,Falabella,2025-08-08 21:30:01,8,8,success
389,Falabella,2025-08-08 22:00:01,8,8,success
390,Falabella,2025-08-08 22:30:01,6,6,success
391,Falabella,2025-08-08 23:00:02,6,6,success
392,Falabella,2025-08-08 23:30:02,6,6,success
393,Falabella,2025-08-09 00:00:02,6,6,success
394,Falabella,2025-08-09 00:30:02,5,5,success
395,Falabella,2025-08-09 01:00:02,6,6,success
396,Falabella,2025-08-09 01:30:01,6,6,success
397,Falabella,2025-08-09 02:00:01,6,6,success
398,Falabella,2025-08-09 02:30:01,6,6,success
399,Falabella,2025-08-09 03:00:01,6,6,success
400,Falabella,2025-08-09 03:30:01,5,5,success
401,Falabella,2025-08-09 04:00:01,6,6,success
402,Falabella,2025-08-09 04:30:02,8,8,success
403,Falabella,2025-08-09 05:00:02,8,8,success
404,Falabella,2025-08-09 05:30:02,8,8,success
405,Falabella,2025-08-09 06:00:02,8,8,success
406,Falabella,2025-08-09 06:30:02,8,8,success
407,Falabella,2025-08-09 07:00:02,8,8,success
408,Falabella,2025-08-09 07:30:02,6,6,success
409,Falabella,2025-08-09 08:00:01,8,8,success
410,Falabella,2025-08-09 08:30:01,8,8,success
411,Falabella,2025-08-09 09:00:01,8,8,success
412,Falabella,2025-08-09 09:30:01,8,8,success
413,Falabella,2025-08-09 10:00:01,8,8,success
414,Falabella,2025-08-09 10:30:01,8,8,success
415,Falabella,2025-08-09 11:00:01,8,8,success
416,Falabella,2025-08-09 11:30:02,7,7,success
417,Falabella,2025-08-09 12:00:02,7,7,success
418,Falabella,2025-08-09 12:30:02,7,7,success
419,Falabella,2025-08-09 13:00:02,7,7,success
420,Falabella,2025-08-09 13:30:02,7,7,success
421,Falabella,2025-08-09 14:00:01,6,6,success
422,Falabella,2025-08-09 14:30:01,7,7,success
423,Falabella,2025-08-09 15:00:01,7,7,success
424,Falabella,2025-08-09 15:30:01,7,7,success
425,Falabella,2025-08-09 16:00:01,7,7,success
426,Falabella,2025-08-09 16:30:01,8,8,success
427,Falabella,2025-08-09 17:00:01,8,8,success
428,Falabella,2025-08-09 17:30:02,8,8,success
429,Falabella,2025-08-09 18:00:04,7,7,success
430,Falabella,2025-08-09 18:30:02,7,7,success
431,Falabella,2025-08-09 19:00:02,8,8,success
432,Falabella,2025-08-09 19:30:02,8,8,success
433,Falabella,2025-08-09 20:00:02,8,8,success
434,Falabella,2025-08-09 20:30:02,8,8,success
435,Falabella,2025-08-09 21:00:01,8,8,success
436,Falabella,2025-08-09 21:30:01,7,7,success
437,Falabella,2025-08-09 22:00:01,8,8,success
438,Falabella,2025-08-09 22:30:01,8,8,success
439,Falabella,2025-08-09 23:00:01,8,8,success
440,Falabella,2025-08-09 23:30:01,6,6,success
441,Falabella,2025-08-10 00:00:01,6,6,success
442,Falabella,2025-08-10 00:30:01,8,8,success
443,Falabella,2025-08-10 01:00:02,8,8,success
444,Falabella,2025-08-10 01:30:02,8,8,success
445,Falabella,2025-08-10 02:00:02,8,8,success
446,Falabella,2025-08-10 02:30:02,8,8,success
447,Falabella,2025-08-10 03:00:01,8,8,success
448,Falabella,2025-08-10 03:30:01,8,8,success
449,Falabella,2025-08-10 04:00:01,7,7,success
450,Falabella,2025-08-10 04:30:01,7,7,success
451,Falabella,2025-08-10 05:00:01,8,8,success
452,Falabella,2025-08-10 05:30:01,8,8,success
453,Falabella,2025-08-10 06:00:02,8,8,success
454,Falabella,2025-08-10 06:30:02,7,7,success
455,Falabella,2025-08-10 07:00:02,8,8,success
456,Falabella,2025-08-10 07:30:01,7,7,success
457,Falabella,2025-08-10 08:00:01,8,8,success
458,Falabella,2025-08-10 08:30:01,8,8,success
459,Falabella,2025-08-10 09:00:01,8,8,success
460,Falabella,2025-08-10 09:30:01,8,8,success
461,Falabella,2025-08-10 10:00:01,8,8,success
462,Falabella,2025-08-10 10:30:01,8,8,success
463,Falabella,2025-08-10 11:00:01,8,8,success
464,Falabella,2025-08-10 11:30:01,8,8,success
465,Falabella,2025-08-10 12:00:01,8,8,success
466,Falabella,2025-08-10 12:30:02,8,8,success
467,Falabella,2025-08-10 13:00:02,8,8,success
468,Falabella,2025-08-10 13:30:02,8,8,success
469,Falabella,2025-08-10 14:00:02,8,8,success
470,Falabella,2025-08-10 14:30:01,8,8,success
471,Falabella,2025-08-10 15:00:01,7,7,success
472,Falabella,2025-08-10 15:30:01,7,7,success
